uid,city,source,title,description_en,domain,cluster,indicator_direct,fit,proxy_link,spans,spatial_label,temporal_label,year_min,year_max,year_span_elapsed,spatial_evidence,temporal_depth_evidence,cadence_evidence,resource_url,declared_spatial_coverage,declared_temporal_coverage,round_tag,source_row
df_c::4302,Antwerp,GIK / Stad in Cijfers (df_c),Actief bewegen (dagelijks min. 30 minuten)_CLT_OG,Active exercise (min. 30 minutes daily)_CLT_OG: Response to question: SM_ZO_actbew_mindag,Total PA,Overall activity levels,Levels of MVPA,Direct match,,,Sub-city (district-zone),5-9 years; annual-or-finer,2017,2023,6,source-system rule,HARVESTED,AUTHORED,https://stadincijfers.antwerpen.be/viewer?var=sm_zo_actbew_mindag_clt_og,,,,13
df_c::2044,Antwerp,GIK / Stad in Cijfers (df_c),Actief bewegen (dagelijks min. 30 minuten)_CLT,Active exercise (min. 30 minutes daily)_CLT: Response to question: SM_ZO_actbew_mindag,Total PA,Overall activity levels,Levels of MVPA,Direct match,,,Sub-city (district-zone),5-9 years; annual-or-finer,2017,2023,6,source-system rule,HARVESTED,AUTHORED,https://stadincijfers.antwerpen.be/viewer?var=sm_zo_actbew_mindag_clt,,,,14
df_c::6483,Antwerp,GIK / Stad in Cijfers (df_c),Actief bewegen (dagelijks min. 30 minuten)_SUM_OG,"Active exercise (min. 30 minutes daily)_SUM_OG: Number of residents who walk, walk or cycle for thirty minutes every day.",Total PA,Overall activity levels,Levels of MVPA,Direct match,,,Sub-city (district-zone),unknown depth; multi-year,,,,source-system rule,UNKNOWN,AUTHORED,https://stadincijfers.antwerpen.be/viewer?var=sm_zo_actbew_mindag_sum_og,,,,15
df_c::2041,Antwerp,GIK / Stad in Cijfers (df_c),Actief bewegen (dagelijks min. 30 minuten)_SUM,"Active exercise (min. 30 minutes daily)_SUM: Number of residents who walk, walk or cycle for thirty minutes every day.",Total PA,Overall activity levels,Levels of MVPA,Direct match,,,Sub-city (district-zone),5-9 years; annual-or-finer,2017,2023,6,source-system rule,HARVESTED,AUTHORED,https://stadincijfers.antwerpen.be/viewer?var=sm_zo_actbew_mindag_sum,,,,16
df_c::2426,Antwerp,GIK / Stad in Cijfers (df_c),Actief bewegen (dagelijks min. 30 minuten),"Active exercise (min. 30 minutes daily): Share (%) of residents who walk, walk or cycle for thirty minutes every day.",Total PA,Overall activity levels,Levels of MVPA,Direct match,,,Sub-city (district-zone),5-9 years; multi-year,2017,2023,6,source-system rule,HARVESTED,AUTHORED,https://stadincijfers.antwerpen.be/viewer?var=sm_zo_actbew_mindag,,,,17
df_c::25228,Antwerp,GIK / Stad in Cijfers (df_c),leerplichtige lln SO met 10 tot 19 halve dagen PA,compulsory education for secondary education with 10 to 19 half days of PA,Recreational PA,Leisure-time activity,,Relevant proxy,Levels of recreational MVPA,,Sub-city (district-zone),5-9 years; multi-year,2015,2024,9,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=pa_so_10_19,,,,18
df_c::25229,Antwerp,GIK / Stad in Cijfers (df_c),leerplichtige lln SO met 20 tot 29 halve dagen PA,compulsory education for secondary education with 20 to 29 half days of PA,Recreational PA,Leisure-time activity,,Relevant proxy,Levels of recreational MVPA,,Sub-city (district-zone),5-9 years; multi-year,2015,2024,9,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=pa_so_20_29,,,,19
df_c::25230,Antwerp,GIK / Stad in Cijfers (df_c),leerplichtige lln SO met 30 of meer halve dagen PA,compulsory education for secondary education with 30 or more half days of PA,Recreational PA,Leisure-time activity,,Relevant proxy,Levels of recreational MVPA,,Sub-city (district-zone),10-19 years; multi-year,2013,2024,11,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=pa_so_30,,,,20
df_c::25227,Antwerp,GIK / Stad in Cijfers (df_c),leerplichtige lln SO met 5 tot 10 halve dagen PA,compulsory education for secondary education with 5 to 10 half days of PA,Recreational PA,Leisure-time activity,,Relevant proxy,Levels of recreational MVPA,,Sub-city (district-zone),10-19 years; multi-year,2013,2024,11,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=pa_so_5_9,,,,21
df_c::25224,Antwerp,GIK / Stad in Cijfers (df_c),leerplichtige lln BO met 10 tot 19 halve dagen PA,compulsory education in secondary education with 10 to 19 half days of PA,Recreational PA,Leisure-time activity,,Relevant proxy,Levels of recreational MVPA,,Sub-city (district-zone),5-9 years; multi-year,2015,2024,9,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=pa_bo_10_19,,,,22
df_c::25225,Antwerp,GIK / Stad in Cijfers (df_c),leerplichtige lln BO met 20 tot 29 halve dagen PA,compulsory education in secondary education with 20 to 29 half days of PA,Recreational PA,Leisure-time activity,,Relevant proxy,Levels of recreational MVPA,,Sub-city (district-zone),5-9 years; multi-year,2015,2024,9,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=pa_bo_20_29,,,,23
df_c::25226,Antwerp,GIK / Stad in Cijfers (df_c),leerplichtige lln BO met 30 of meer halve dagen PA,compulsory education in secondary education with 30 or more half days of PA,Recreational PA,Leisure-time activity,,Relevant proxy,Levels of recreational MVPA,,Sub-city (district-zone),10-19 years; multi-year,2013,2024,11,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=pa_bo_30,,,,24
df_c::25223,Antwerp,GIK / Stad in Cijfers (df_c),leerplichtige lln BO met 5 tot 10 halve dagen PA,compulsory education in secondary education with 5 to 10 half days of PA,Recreational PA,Leisure-time activity,,Relevant proxy,Levels of recreational MVPA,,Sub-city (district-zone),10-19 years; multi-year,2013,2024,11,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=pa_bo_5_9,,,,25
df_c::25232,Antwerp,GIK / Stad in Cijfers (df_c),Aandeel leerplichtige lln BO met 10 tot 19 halve dagen PA,Share of compulsory education in secondary education with 10 to 19 half days of PA,Recreational PA,Leisure-time activity,,Relevant proxy,Levels of recreational MVPA,,Sub-city (district-zone),5-9 years; multi-year,2015,2023,8,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=pa_bo_10_19_p,,,,26
df_c::25233,Antwerp,GIK / Stad in Cijfers (df_c),Aandeel leerplichtige lln BO met 20 tot 29 halve dagen PA,Share of compulsory education in secondary education with 20 to 29 half days of PA,Recreational PA,Leisure-time activity,,Relevant proxy,Levels of recreational MVPA,,Sub-city (district-zone),5-9 years; multi-year,2015,2023,8,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=pa_bo_20_29_p,,,,27
df_c::25234,Antwerp,GIK / Stad in Cijfers (df_c),Aandeel leerplichtige lln BO met 30 of meer halve dagen PA,Share of compulsory education in secondary education with 30 or more half days of PA,Recreational PA,Leisure-time activity,,Relevant proxy,Levels of recreational MVPA,,Sub-city (district-zone),10-19 years; multi-year,2013,2023,10,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=pa_bo_30_p,,,,28
df_c::25231,Antwerp,GIK / Stad in Cijfers (df_c),Aandeel leerplichtige lln BO met 5 tot 10 halve dagen PA,Share of compulsory education in secondary education with 5 to 10 half days of PA,Recreational PA,Leisure-time activity,,Relevant proxy,Levels of recreational MVPA,,Sub-city (district-zone),10-19 years; multi-year,2013,2023,10,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=pa_bo_5_9_p,,,,29
df_c::21267,Antwerp,GIK / Stad in Cijfers (df_c),leerplichtige lln GBO met minstens 5 halve dagen PA,compulsory education in GBO with at least 5 half days of PA,Recreational PA,Leisure-time activity,,Relevant proxy,Levels of recreational MVPA,,Sub-city (district-zone),10-19 years; multi-year,2013,2024,11,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=pa_gbo,,,,30
df_c::21266,Antwerp,GIK / Stad in Cijfers (df_c),leerplichtige lln BO met minstens 5 halve dagen PA,compulsory education in secondary education with at least 5 half days of PA,Recreational PA,Leisure-time activity,,Relevant proxy,Levels of recreational MVPA,,Sub-city (district-zone),10-19 years; multi-year,2013,2024,11,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=pa_bo,,,,31
df_c::21268,Antwerp,GIK / Stad in Cijfers (df_c),leerplichtige lln BuBaO met minstens 5 halve dagen PA,"compulsory education, including BuBaO, with at least 5 half-days of PA",Recreational PA,Leisure-time activity,,Relevant proxy,Levels of recreational MVPA,,Sub-city (district-zone),10-19 years; multi-year,2013,2024,11,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=pa_bubao,,,,32
df_c::21274,Antwerp,GIK / Stad in Cijfers (df_c),lln GVSO met minstens 5 halve dagen PA,lln GVSO with at least 5 half days of PA,Recreational PA,Leisure-time activity,,Relevant proxy,Levels of recreational MVPA,,Sub-city (district-zone),10-19 years; multi-year,2013,2024,11,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=pa_gvso,,,,33
df_c::21272,Antwerp,GIK / Stad in Cijfers (df_c),lln SO met minstens 5 halve dagen PA,lln SO with at least 5 half days of PA,Recreational PA,Leisure-time activity,,Relevant proxy,Levels of recreational MVPA,,Sub-city (district-zone),10-19 years; multi-year,2013,2024,11,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=pa_so,,,,34
df_c::21275,Antwerp,GIK / Stad in Cijfers (df_c),lln BuSO met minstens 5 halve dagen PA,Only BuSO with at least 5 half days of PA,Recreational PA,Leisure-time activity,,Relevant proxy,Levels of recreational MVPA,,Sub-city (district-zone),10-19 years; multi-year,2013,2024,11,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=pa_buso,,,,35
df_c::21273,Antwerp,GIK / Stad in Cijfers (df_c),lln DBSO met minstens 5 halve dagen PA,Only DBSO with at least 5 half days of PA,Recreational PA,Leisure-time activity,,Relevant proxy,Levels of recreational MVPA,,Sub-city (district-zone),10-19 years; multi-year,2013,2024,11,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=pa_dbso,,,,36
df_c::21279,Antwerp,GIK / Stad in Cijfers (df_c),Aandeel leerlingen BuSO met minstens 5 halve dagen PA,Share of BuSO students with at least 5 half-days of PA,Recreational PA,Leisure-time activity,,Relevant proxy,Levels of recreational MVPA,,Sub-city (district-zone),10-19 years; multi-year,2013,2024,11,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=pa_buso_p,,,,37
df_c::21270,Antwerp,GIK / Stad in Cijfers (df_c),Aandeel leerplichtige leerlingen GBO met minstens 5 halve dagen PA,Share of compulsory education GBO students with at least 5 half-days of PA,Recreational PA,Leisure-time activity,,Relevant proxy,Levels of recreational MVPA,,Sub-city (district-zone),10-19 years; multi-year,2013,2024,11,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=pa_gbo_p,,,,38
df_c::21271,Antwerp,GIK / Stad in Cijfers (df_c),Aandeel leerplichtige leerlingen BuBaO met minstens 5 halve dagen PA,Share of compulsory school pupils BuBaO with at least 5 half days of PA,Recreational PA,Leisure-time activity,,Relevant proxy,Levels of recreational MVPA,,Sub-city (district-zone),10-19 years; multi-year,2013,2024,11,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=pa_bubao_p,,,,39
df_c::21269,Antwerp,GIK / Stad in Cijfers (df_c),Aandeel leerplichtige leerlingen BO met minstens 5 halve dagen PA,Share of compulsory secondary education pupils with at least 5 half-days of PA,Recreational PA,Leisure-time activity,,Relevant proxy,Levels of recreational MVPA,,Sub-city (district-zone),10-19 years; multi-year,2013,2023,10,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=pa_bo_p,,,,40
df_c::21277,Antwerp,GIK / Stad in Cijfers (df_c),Aandeel leerlingen DBSO met minstens 5 halve dagen PA,Share of DBSO students with at least 5 half-days of PA,Recreational PA,Leisure-time activity,,Relevant proxy,Levels of recreational MVPA,,Sub-city (district-zone),10-19 years; multi-year,2013,2024,11,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=pa_dbso_p,,,,41
df_c::21278,Antwerp,GIK / Stad in Cijfers (df_c),Aandeel leerlingen GVSO met minstens 5 halve dagen PA,Share of GVSO students with at least 5 half-days of PA,Recreational PA,Leisure-time activity,,Relevant proxy,Levels of recreational MVPA,,Sub-city (district-zone),10-19 years; multi-year,2013,2024,11,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=pa_gvso_p,,,,42
df_c::21276,Antwerp,GIK / Stad in Cijfers (df_c),Aandeel leerlingen SO met minstens 5 halve dagen PA,Share of secondary school students with at least 5 half-days of PA,Recreational PA,Leisure-time activity,,Relevant proxy,Levels of recreational MVPA,,Sub-city (district-zone),10-19 years; multi-year,2013,2024,11,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=pa_so_p,,,,43
df_c::19638,Antwerp,GIK / Stad in Cijfers (df_c),Gaan fietsen (% laatste week),"Going cycling (% last week): The share of respondents who went cycling in the past week. For 2017, this indicator shows the total results for 2015, 2016 and 2017 together.By 2012 we mean 2010, 2011 and 2012 together.The intention is that figures can be studied at a small geographical level.Topics per year are also available.",Recreational PA,Leisure-time activity,Levels of recreational MVPA,Direct match,,,Sub-city (district-zone),5-9 years; annual-or-finer,2010,2017,7,source-system rule,TEXT,AUTHORED,https://stadincijfers.antwerpen.be/viewer?var=m_vt_frq_l7d_gaanfietsen_p,,,,44
df_c::20246,Antwerp,GIK / Stad in Cijfers (df_c),Gaan fietsen (% laatste week) (< 25j.),"Going to cycle (% last week) (< 25 years): The share of respondents under the age of 25 who went cycling in the past week. For 2017, this indicator shows the total results for 2015, 2016 and 2017 together.By 2012 we mean 2010, 2011 and 2012 together.The intention is that figures can be studied at a small geographical level.Topics per year are also available.",Recreational PA,Leisure-time activity,Levels of recreational MVPA,Direct match,,,Sub-city (district-zone),5-9 years; annual-or-finer,2010,2017,7,source-system rule,TEXT,AUTHORED,https://stadincijfers.antwerpen.be/viewer?var=jm_vt_frq_l7d_gaanfietsen_p,,,,45
df_c::18998,Antwerp,GIK / Stad in Cijfers (df_c),Gaan fietsen (% laatste week),Going cycling (% last week): The share of respondents who went cycling in the past week.,Recreational PA,Leisure-time activity,Levels of recreational MVPA,Direct match,,,Sub-city (district-zone),10-19 years; multi-year,2010,2024,14,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=vt_frq_l7d_gaanfietsen_p,,,,46
df_c::20244,Antwerp,GIK / Stad in Cijfers (df_c),Gaan hardlopen (% laatste week) (< 25j.),"Going running (% last week) (< 25 years): The share of respondents under the age of 25 who went running in the past week. For 2017, this indicator shows the total results for 2015, 2016 and 2017 together.By 2012 we mean 2010, 2011 and 2012 together.The intention is that figures can be studied at a small geographical level.Topics per year are also available.",Recreational PA,Leisure-time activity,Levels of recreational MVPA,Direct match,,,Sub-city (district-zone),5-9 years; annual-or-finer,2010,2017,7,source-system rule,TEXT,AUTHORED,https://stadincijfers.antwerpen.be/viewer?var=jm_vt_frq_l7d_gaanhardlopen_p,,,,47
df_c::19636,Antwerp,GIK / Stad in Cijfers (df_c),Gaan hardlopen (% laatste week),"Going running (% last week): The share of respondents who went running in the past week. For 2017, this indicator shows the total results for 2015, 2016 and 2017 together.By 2012 we mean 2010, 2011 and 2012 together.The intention is that figures can be studied at a small geographical level.Topics per year are also available.",Recreational PA,Leisure-time activity,Levels of recreational MVPA,Direct match,,,Sub-city (district-zone),5-9 years; annual-or-finer,2010,2017,7,source-system rule,TEXT,AUTHORED,https://stadincijfers.antwerpen.be/viewer?var=m_vt_frq_l7d_gaanhardlopen_p,,,,48
df_c::18996,Antwerp,GIK / Stad in Cijfers (df_c),Gaan hardlopen (% laatste week),Going running (% last week): The share of respondents who went running in the past week.,Recreational PA,Leisure-time activity,Levels of recreational MVPA,Direct match,,,Sub-city (district-zone),10-19 years; multi-year,2010,2024,14,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=vt_frq_l7d_gaanhardlopen_p,,,,49
df_c::20245,Antwerp,GIK / Stad in Cijfers (df_c),Gaan sporten in sporthal of -terrein (% laatste week) (< 25j.),"Going to exercise in a sports hall or sports field (% last week) (< 25 years): The share of respondents under the age of 25 who played sports in a sports hall or on a sports field in the past week. For 2017, this indicator shows the total results for 2015, 2016 and 2017 together.By 2012 we mean 2010, 2011 and 2012 together.The intention is that figures can be studied at a small geographical level.Topics per year are also available.",Recreational PA,Leisure-time activity,Levels of recreational MVPA,Direct match,,,Sub-city (district-zone),5-9 years; annual-or-finer,2010,2017,7,source-system rule,TEXT,AUTHORED,https://stadincijfers.antwerpen.be/viewer?var=jm_vt_frq_l7d_sporthalofsportterrein_p,,,,50
df_c::18997,Antwerp,GIK / Stad in Cijfers (df_c),Gaan sporten in sporthal of -terrein (% laatste week),Going to exercise in a sports hall or sports field (% last week): The share of respondents who went to exercise in a sports hall or on a sports field in the past week.,Recreational PA,Leisure-time activity,Levels of recreational MVPA,Direct match,,,Sub-city (district-zone),10-19 years; multi-year,2010,2024,14,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=vt_frq_l7d_sporthalofsportterrein_p,,,,51
df_c::19637,Antwerp,GIK / Stad in Cijfers (df_c),Gaan sporten in sporthal of -terrein (% laatste week),"Going to exercise in a sports hall or sports field (% last week): The share of respondents who went to exercise in a sports hall or on a sports field in the past week. For 2017, this indicator shows the total results for 2015, 2016 and 2017 together.By 2012 we mean 2010, 2011 and 2012 together.The intention is that figures can be studied at a small geographical level.Topics per year are also available.",Recreational PA,Leisure-time activity,Levels of recreational MVPA,Direct match,,,Sub-city (district-zone),5-9 years; annual-or-finer,2010,2017,7,source-system rule,TEXT,AUTHORED,https://stadincijfers.antwerpen.be/viewer?var=m_vt_frq_l7d_sporthalofsportterrein_p,,,,52
df_c::20208,Antwerp,GIK / Stad in Cijfers (df_c),Sport beoefend (% laatste week) (< 25j.),"Practiced sports (% last week) (< 25 years): The share of respondents under the age of 25 who practiced a sport in the past week For 2017, this indicator shows the total results for 2015, 2016 and 2017 together.By 2012 we mean 2010, 2011 and 2012 together.The intention is that figures can be studied at a small geographical level.Topics per year are also available. For 2017, this indicator shows the total results for 2015, 2016 and 2017 together.By 2012 we mean 2010, 2011 and 2012 together.The in",Recreational PA,Leisure-time activity,Levels of recreational MVPA,Direct match,,,Sub-city (district-zone),5-9 years; annual-or-finer,2010,2017,7,source-system rule,TEXT,AUTHORED,https://stadincijfers.antwerpen.be/viewer?var=jm_vt_frq_l7d_sportbeoefend_p,,,,53
df_c::18904,Antwerp,GIK / Stad in Cijfers (df_c),Sport beoefend (% laatste week),Practiced sports (% last week): The share of respondents who practiced a sport in the past week,Recreational PA,Leisure-time activity,Levels of recreational MVPA,Direct match,,,Sub-city (district-zone),10-19 years; multi-year,2010,2024,14,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=vt_frq_l7d_sportbeoefend_p,,,,54
df_c::19544,Antwerp,GIK / Stad in Cijfers (df_c),Sport beoefend (% laatste week),"Practiced sports (% last week): The share of respondents who practiced a sport in the past week For 2017, this indicator shows the total results for 2015, 2016 and 2017 together.By 2012 we mean 2010, 2011 and 2012 together.The intention is that figures can be studied at a small geographical level.Topics per year are also available. For 2017, this indicator shows the total results for 2015, 2016 and 2017 together.By 2012 we mean 2010, 2011 and 2012 together.The intention is that figures can be st",Recreational PA,Leisure-time activity,Levels of recreational MVPA,Direct match,,,Sub-city (district-zone),5-9 years; annual-or-finer,2010,2017,7,source-system rule,TEXT,AUTHORED,https://stadincijfers.antwerpen.be/viewer?var=m_vt_frq_l7d_sportbeoefend_p,,,,55
df_c::18905,Antwerp,GIK / Stad in Cijfers (df_c),Gaan zwemmen (% laatste week),Going swimming (% last week): The share of respondents who went swimming in the past week,Recreational PA,Leisure-time activity,Levels of recreational MVPA,Direct match,,,Sub-city (district-zone),10-19 years; multi-year,2010,2024,14,source-system rule,HARVESTED,HARVESTED,https://stadincijfers.antwerpen.be/viewer?var=vt_frq_l7d_gaanzwemmen_p,,,,56
df_c::19553,Antwerp,GIK / Stad in Cijfers (df_c),Regelmatig op een andere manier tijdens vrije tijd,"Regularly in a different way during free time: The share of respondents who moved regularly, very often or always in a different way during their free time in the past month For 2017, this indicator shows the total results for 2015, 2016 and 2017 together.By 2012 we mean 2010, 2011 and 2012 together.The intention is that figures can be studied at a small geographical level.Topics per year are also available. For 2017, this indicator shows the total results for 2015, 2016 and 2017 together.By 201",Recreational PA,Leisure-time activity,Levels of recreational MVPA,Direct match,,,Sub-city (district-zone),5-9 years; annual-or-finer,2010,2017,7,source-system rule,TEXT,AUTHORED,https://stadincijfers.antwerpen.be/viewer?var=m_mob_vrt_anders_p,,,,57
df_c::20209,Antwerp,GIK / Stad in Cijfers (df_c),Gaan zwemmen (% laatste week) (< 25j.),"Going swimming (% last week) (< 25 years): The share of respondents under the age of 25 who went swimming in the past week For 2017, this indicator shows the total results for 2015, 2016 and 2017 together.By 2012 we mean 2010, 2011 and 2012 together.The intention is that figures can be studied at a small geographical level.Topics per year are also available. For 2017, this indicator shows the total results for 2015, 2016 and 2017 together.By 2012 we mean 2010, 2011 and 2012 together.The intentio",Recreational PA,Leisure-time activity,Levels of recreational MVPA,Direct match,,,Sub-city (district-zone),5-9 years; annual-or-finer,2010,2017,7,source-system rule,TEXT,AUTHORED,https://stadincijfers.antwerpen.be/viewer?var=jm_vt_frq_l7d_gaanzwemmen_p,,,,58
